Neighborhood,Education Level,Employment Status,Age,Years of Experience,Annual Income,Gender,Household Size
Maplewood,None,Part-time,79,0,10013,Male,3
Kingsley,Bachelors,Full-time,47,24,74859,Male,7
Maplewood,Technical,Full-time,46,14,41642,Female,4
Rosedale,Bachelors,Full-time,43,3,69066,Male,2
Maplewood,Postgraduate,Full-time,36,3,95947,Male,1
Rosedale,Technical,Retired,43,0,19389,Male,1
Ashford,Bachelors,Part-time,54,9,45143,Male,2
Rosedale,Bachelors,Full-time,44,24,66171,Female,7
Rosedale,Technical,Full-time,47,29,41114,Male,7
Huntington,Bachelors,Full-time,68,5,65171,Female,5
Kingsley,Technical,Full-time,70,26,40682,Female,2
Kingsley,Bachelors,Unemployed,47,0,25335,Male,7
Ashford,None,Part-time,20,1,12856,Female,1
Ashford,Bachelors,Retired,76,0,36209,Other,7
Kingsley,Technical,Full-time,75,51,38577,Other,3
Huntington,Postgraduate,Full-time,60,2,103380,Male,7
Kingsley,None,Full-time,24,5,19076,Male,5
Huntington,Bachelors,Unemployed,78,0,16157,Male,6
Ashford,Bachelors,Retired,66,0,37777,Female,4
Maplewood,Bachelors,Full-time,74,32,67717,Female,6
Ashford,Bachelors,Part-time,26,6,45437,Female,3
Ashford,Bachelors,Full-time,70,35,67795,Male,6
Rosedale,Bachelors,Part-time,58,13,44200,Male,7
Rosedale,Postgraduate,Unemployed,59,0,32528,Female,5
Rosedale,Technical,Part-time,30,7,21377,Female,1
Rosedale,Bachelors,Part-time,32,13,46041,Female,1
Huntington,Postgraduate,Full-time,71,2,96810,Male,3
Kingsley,Postgraduate,Full-time,80,48,100190,Male,6
Maplewood,Postgraduate,Full-time,22,4,100432,Male,5
Ashford,Technical,Full-time,46,13,42895,Male,4
Huntington,Technical,Retired,52,0,17126,Male,7
Maplewood,Bachelors,Retired,44,0,36953,Male,6
Huntington,Bachelors,Full-time,44,17,68030,Male,6
Huntington,Bachelors,Retired,25,0,36323,Male,4
Ashford,Bachelors,Full-time,49,2,70747,Male,2
Kingsley,Postgraduate,Full-time,37,18,100605,Female,7
Rosedale,Technical,Full-time,27,2,40891,Male,3
Kingsley,Postgraduate,Full-time,30,11,98076,Female,7
Ashford,Bachelors,Full-time,80,53,67344,Female,5
Ashford,Technical,Full-time,46,4,35619,Female,3
Ashford,Bachelors,Full-time,52,9,67407,Female,4
Maplewood,Bachelors,Unemployed,78,0,22260,Male,5
Kingsley,Technical,Full-time,71,40,38004,Female,1
Kingsley,Technical,Full-time,25,0,38914,Female,1
Huntington,Postgraduate,Full-time,46,12,98596,Female,7
Huntington,Technical,Part-time,48,2,28869,Male,5
Huntington,Bachelors,Full-time,58,31,69039,Male,3
Ashford,Bachelors,Retired,47,0,31304,Male,3
Kingsley,Bachelors,Part-time,39,10,42630,Female,1
Ashford,Bachelors,Part-time,38,15,44282,Female,1
Maplewood,Technical,Part-time,29,5,22307,Male,4
Huntington,Bachelors,Full-time,28,7,66361,Female,5
Ashford,Technical,Full-time,19,0,41665,Female,3
Ashford,Bachelors,Full-time,67,18,69294,Male,4
Maplewood,Technical,Part-time,58,5,20787,Female,3
Rosedale,Bachelors,Full-time,19,1,66073,Female,1
Kingsley,Technical,Full-time,51,3,44357,Male,5
Rosedale,Technical,Unemployed,20,0,12902,Female,2
Huntington,Technical,Full-time,33,0,38599,Male,5
Ashford,Technical,Retired,68,0,18055,Female,6
Maplewood,Postgraduate,Retired,21,0,51476,Female,2
Maplewood,Technical,Full-time,40,12,35659,Female,7
Kingsley,Postgraduate,Full-time,74,55,101320,Male,7
Rosedale,Postgraduate,Full-time,67,35,101513,Male,4
Kingsley,Bachelors,Part-time,37,10,41642,Male,2
Ashford,Technical,Part-time,42,18,28321,Female,2
Kingsley,Technical,Retired,47,0,21373,Male,4
Maplewood,Bachelors,Unemployed,35,0,20466,Female,5
Maplewood,Technical,Part-time,59,11,28660,Male,4
Huntington,None,Full-time,28,10,20587,Male,6
Huntington,Bachelors,Full-time,46,5,67471,Male,1
Ashford,Postgraduate,Retired,34,0,54343,Other,7
Rosedale,Bachelors,Full-time,43,11,71175,Female,1
Kingsley,Technical,Full-time,73,26,43284,Male,7
Ashford,Bachelors,Retired,74,0,31281,Male,2
Huntington,Technical,Full-time,40,8,38177,Female,4
Kingsley,Technical,Unemployed,73,0,12667,Male,4
Huntington,Postgraduate,Part-time,69,24,59511,Female,4
Kingsley,Technical,Full-time,65,41,38881,Female,6
Rosedale,Technical,Unemployed,37,0,9413,Female,6
Ashford,None,Full-time,62,2,16544,Female,5
Kingsley,Postgraduate,Full-time,19,0,99784,Female,3
Maplewood,Bachelors,Full-time,41,19,70761,Female,7
Maplewood,Bachelors,Full-time,48,27,72874,Female,3
Kingsley,Bachelors,Full-time,44,22,71961,Female,3
Kingsley,Technical,Full-time,19,1,40626,Male,7
Kingsley,Bachelors,Full-time,74,2,69514,Male,5
Maplewood,Technical,Full-time,31,9,36145,Male,4
Maplewood,None,Retired,21,0,14102,Female,3
Kingsley,Bachelors,Retired,66,0,35450,Female,4
Huntington,Postgraduate,Full-time,30,7,96566,Male,2
Huntington,None,Full-time,53,5,18005,Male,3
Rosedale,Technical,Full-time,52,19,39507,Male,2
Ashford,Technical,Full-time,61,10,39248,Female,5
Huntington,Technical,Retired,71,0,23283,Female,1
Maplewood,Postgraduate,Retired,72,0,48992,Female,6
Huntington,Bachelors,Full-time,25,7,73522,Male,7
Rosedale,Bachelors,Full-time,19,1,73027,Female,5
Rosedale,Bachelors,Full-time,23,2,70760,Male,5
Ashford,Technical,Part-time,48,20,28146,Female,5
Huntington,Bachelors,Full-time,71,43,73045,Male,3
Maplewood,Bachelors,Unemployed,27,0,18977,Female,2
Maplewood,Bachelors,Retired,61,0,35347,Male,6
Kingsley,Postgraduate,Full-time,38,15,99289,Male,3
Maplewood,Bachelors,Part-time,59,12,37529,Other,1
Ashford,Technical,Unemployed,27,0,9892,Male,7
Ashford,Postgraduate,Part-time,40,21,64458,Male,7
Maplewood,Technical,Full-time,20,2,42443,Female,6
Maplewood,None,Full-time,49,14,24665,Female,7
Kingsley,Technical,Retired,37,0,19734,Male,7
Maplewood,Technical,Part-time,27,5,28789,Female,5
Kingsley,Bachelors,Part-time,46,27,39525,Female,4
Kingsley,Bachelors,Unemployed,58,0,19761,Male,1
Maplewood,Postgraduate,Unemployed,69,0,31141,Male,2
Rosedale,Bachelors,Unemployed,68,0,18742,Male,1
Rosedale,Bachelors,Full-time,63,20,69635,Female,3
Kingsley,None,Part-time,51,17,11425,Male,7
Maplewood,None,Retired,54,0,13661,Male,4
Rosedale,Bachelors,Retired,37,0,33830,Female,3
Maplewood,Bachelors,Part-time,78,30,43992,Female,6
Maplewood,Postgraduate,Full-time,78,59,95533,Male,5
Maplewood,Technical,Retired,25,0,19562,Female,7
Huntington,None,Retired,24,0,12120,Male,5
Maplewood,Bachelors,Full-time,23,4,71563,Male,1
Huntington,Technical,Full-time,28,4,42289,Female,5
Kingsley,None,Full-time,61,20,19087,Female,5
Rosedale,Bachelors,Full-time,35,13,73953,Male,6
Rosedale,Technical,Full-time,68,24,44082,Female,2
Rosedale,Bachelors,Full-time,59,26,67355,Female,2
Rosedale,Technical,Part-time,74,39,20955,Male,3
Rosedale,Technical,Part-time,46,27,21971,Female,7
Rosedale,Technical,Part-time,42,22,24539,Male,3
Rosedale,Postgraduate,Retired,80,0,52493,Other,2
Kingsley,Technical,Full-time,38,14,36672,Female,1
Maplewood,Bachelors,Full-time,63,28,67836,Male,2
Ashford,Technical,Unemployed,20,0,11927,Male,3
Huntington,Bachelors,Full-time,35,14,69939,Male,4
Ashford,Technical,Unemployed,41,0,10644,Male,7
Ashford,Bachelors,Retired,64,0,32297,Male,5
Maplewood,Bachelors,Part-time,55,29,41061,Male,6
Maplewood,Postgraduate,Unemployed,27,0,28166,Female,4
Maplewood,Technical,Full-time,44,18,44511,Male,4
Rosedale,None,Full-time,29,9,15183,Female,5
Kingsley,None,Part-time,24,3,16475,Female,2
Rosedale,Postgraduate,Full-time,34,5,97846,Male,7
Kingsley,Bachelors,Unemployed,18,0,25624,Female,1
Kingsley,Bachelors,Full-time,75,18,74988,Male,4
Ashford,Technical,Part-time,67,26,23722,Male,1
Ashford,Technical,Part-time,43,24,19782,Female,6
Kingsley,None,Part-time,32,7,8507,Male,6
Kingsley,Postgraduate,Full-time,68,37,100855,Female,6
Rosedale,Bachelors,Full-time,77,51,72538,Female,3
Rosedale,Postgraduate,Retired,50,0,45676,Other,4
Ashford,Technical,Full-time,79,22,42250,Female,6
Maplewood,Bachelors,Retired,54,0,37813,Female,3
Kingsley,Bachelors,Part-time,64,28,41090,Male,6
Rosedale,Technical,Retired,48,0,20723,Male,2
Ashford,Postgraduate,Retired,52,0,54552,Female,4
Rosedale,Postgraduate,Full-time,18,0,97686,Male,3
Kingsley,Postgraduate,Part-time,25,6,63382,Male,6
Kingsley,Bachelors,Unemployed,29,0,25034,Male,7
Huntington,Technical,Full-time,76,58,43526,Female,3
Maplewood,Technical,Unemployed,71,0,14689,Male,6
Huntington,Postgraduate,Full-time,74,2,96110,Female,2
Ashford,None,Full-time,36,9,15578,Male,1
Rosedale,Bachelors,Full-time,42,14,65061,Male,6
Ashford,Bachelors,Unemployed,74,0,16386,Male,1
Kingsley,Bachelors,Full-time,49,23,74361,Male,4
Huntington,Postgraduate,Unemployed,80,0,27200,Female,2
Huntington,Technical,Unemployed,29,0,8683,Male,7
Huntington,Technical,Full-time,80,15,41321,Male,4
Ashford,None,Full-time,30,0,23056,Female,7
Kingsley,Bachelors,Retired,45,0,38678,Female,1
Rosedale,Technical,Full-time,18,0,42414,Male,2
Rosedale,Technical,Retired,68,0,21643,Male,5
Ashford,Postgraduate,Full-time,23,2,103732,Other,2
Huntington,Postgraduate,Full-time,25,2,100631,Female,2
Maplewood,Technical,Retired,21,0,22945,Male,7
Ashford,Technical,Full-time,22,4,42726,Male,5
Ashford,Postgraduate,Full-time,42,4,100169,Male,3
Kingsley,None,Full-time,39,13,24430,Male,3
Rosedale,None,Full-time,45,17,24182,Female,3
Ashford,Technical,Part-time,56,25,25787,Female,1
Ashford,Bachelors,Retired,40,0,34467,Male,2
Huntington,Technical,Full-time,21,3,40232,Female,6
Huntington,Postgraduate,Part-time,69,4,63130,Male,5
Maplewood,Bachelors,Part-time,21,2,43196,Male,6
Kingsley,Bachelors,Full-time,79,15,68907,Male,1
Maplewood,Technical,Full-time,64,13,39288,Male,5
Huntington,Bachelors,Unemployed,76,0,22734,Female,6
Rosedale,Bachelors,Retired,38,0,31080,Male,7
Huntington,Bachelors,Part-time,54,36,43240,Male,1
Kingsley,Bachelors,Part-time,73,55,37197,Female,1
Huntington,Bachelors,Full-time,58,40,72814,Female,1
Kingsley,Postgraduate,Part-time,19,1,62851,Female,5
Kingsley,Postgraduate,Part-time,76,35,64790,Female,6
Kingsley,Bachelors,Part-time,24,0,38600,Male,6
Kingsley,None,Full-time,66,46,22462,Female,4
Kingsley,None,Full-time,33,3,21866,Female,1
Rosedale,Technical,Full-time,34,5,38692,Female,3
Maplewood,Bachelors,Unemployed,37,0,24875,Female,2
Ashford,Bachelors,Full-time,75,15,68083,Male,7
Maplewood,Bachelors,Full-time,40,3,68989,Female,7
Kingsley,Postgraduate,Full-time,51,9,95332,Male,4
Rosedale,Postgraduate,Full-time,28,8,104963,Male,4
Huntington,Postgraduate,Retired,51,0,51106,Male,5
Rosedale,Technical,Part-time,50,28,26333,Female,4
Kingsley,Bachelors,Part-time,43,13,43655,Male,6
Rosedale,Technical,Full-time,19,1,40308,Female,5
Rosedale,Technical,Retired,78,0,19200,Male,5
Kingsley,Technical,Full-time,80,43,37721,Female,7
Rosedale,Technical,Full-time,40,9,43998,Male,7
Ashford,Bachelors,Full-time,58,35,66064,Female,3
Ashford,Postgraduate,Full-time,39,17,104080,Female,1
Rosedale,Technical,Full-time,75,44,41820,Male,4
Huntington,Bachelors,Part-time,51,12,45512,Male,1
Kingsley,Bachelors,Part-time,77,45,40957,Female,1
Ashford,Technical,Retired,32,0,17382,Female,1
Huntington,Bachelors,Full-time,27,1,68231,Female,5
Rosedale,Technical,Full-time,32,0,42008,Male,1
Huntington,Bachelors,Full-time,59,20,66500,Female,4
Maplewood,Bachelors,Unemployed,46,0,17568,Male,5
Ashford,Technical,Part-time,74,15,24892,Female,4
Rosedale,Technical,Retired,40,0,18281,Female,5
Kingsley,Bachelors,Full-time,76,14,74711,Male,2
Rosedale,Postgraduate,Part-time,34,4,59089,Female,2
Kingsley,Technical,Full-time,77,5,36865,Female,2
Rosedale,Bachelors,Part-time,26,5,46597,Female,2
Huntington,Bachelors,Unemployed,67,0,21600,Male,5
Huntington,Postgraduate,Unemployed,53,0,31055,Male,1
Huntington,Postgraduate,Part-time,26,2,55004,Female,3
Maplewood,Bachelors,Full-time,33,15,72959,Male,7
Kingsley,Bachelors,Unemployed,53,0,17168,Male,6
Huntington,Postgraduate,Part-time,65,11,57398,Other,3
Maplewood,Technical,Full-time,68,35,37630,Male,2
Kingsley,Technical,Full-time,50,32,41608,Other,1
Rosedale,None,Full-time,72,35,15347,Male,4
Maplewood,Postgraduate,Full-time,48,0,100861,Male,1
Ashford,Postgraduate,Full-time,23,4,98342,Female,4
Maplewood,Technical,Part-time,27,7,25500,Female,3
Maplewood,Bachelors,Full-time,33,7,67574,Female,1
Kingsley,Bachelors,Full-time,21,0,68825,Female,1
Rosedale,Technical,Part-time,71,31,23593,Female,6
Ashford,Postgraduate,Retired,39,0,50272,Male,3
Huntington,Technical,Part-time,30,9,27244,Male,1
Huntington,None,Full-time,33,1,15148,Male,4
Maplewood,Bachelors,Unemployed,69,0,24694,Female,7
Kingsley,Bachelors,Unemployed,79,0,16869,Male,1
Kingsley,None,Full-time,46,11,18521,Male,4
Huntington,Bachelors,Full-time,23,5,68871,Male,2
Ashford,Bachelors,Retired,43,0,31300,Male,1
Rosedale,Technical,Retired,28,0,22595,Male,4
Ashford,Technical,Unemployed,41,0,11833,Female,7
Rosedale,Bachelors,Unemployed,46,0,22670,Male,3
Huntington,Technical,Part-time,20,0,21451,Female,2
Rosedale,Postgraduate,Part-time,69,6,59385,Female,1
Kingsley,Postgraduate,Full-time,27,3,103530,Male,6
Maplewood,Postgraduate,Full-time,78,36,97824,Female,4
Maplewood,Technical,Full-time,77,37,41854,Male,7
Huntington,Postgraduate,Part-time,79,31,64885,Female,6
Kingsley,Bachelors,Part-time,80,10,42964,Other,1
Ashford,Technical,Retired,18,0,15986,Female,4
Kingsley,None,Full-time,69,0,23171,Female,1
Maplewood,None,Part-time,60,24,10490,Male,2
Maplewood,Bachelors,Full-time,43,9,73076,Male,7
Kingsley,Bachelors,Full-time,75,51,68767,Female,7
Kingsley,Technical,Retired,29,0,17006,Male,2
Maplewood,Bachelors,Part-time,31,7,44925,Male,1
Ashford,Technical,Unemployed,42,0,10107,Male,1
Huntington,Bachelors,Full-time,25,4,69468,Female,5
Huntington,Technical,Full-time,60,42,38330,Male,1
Kingsley,Postgraduate,Full-time,21,3,103722,Female,7
Huntington,Postgraduate,Full-time,45,16,95923,Male,1
Maplewood,Bachelors,Unemployed,24,0,22247,Male,6
Maplewood,Technical,Part-time,27,7,27432,Female,6
Kingsley,Technical,Unemployed,68,0,8896,Male,2
Kingsley,Postgraduate,Full-time,74,44,102883,Female,6
Kingsley,Technical,Unemployed,75,0,10324,Male,1
Ashford,Technical,Full-time,53,26,35813,Male,3
Huntington,None,Unemployed,19,0,5750,Male,1
Kingsley,Bachelors,Full-time,43,19,72618,Female,7
Rosedale,Bachelors,Full-time,70,17,65782,Female,5
Rosedale,Postgraduate,Part-time,67,26,59055,Female,4
Maplewood,Technical,Unemployed,31,0,14789,Male,7
Huntington,Technical,Full-time,75,21,43199,Female,2
Kingsley,Postgraduate,Full-time,33,15,98139,Female,6
Rosedale,Postgraduate,Unemployed,71,0,30007,Female,3
Huntington,Technical,Full-time,60,1,39051,Female,7
Maplewood,Bachelors,Full-time,59,4,72575,Female,4
Ashford,Technical,Full-time,34,2,43709,Male,3
Huntington,Postgraduate,Full-time,63,26,98190,Female,2
Huntington,Technical,Unemployed,39,0,12637,Male,6
Ashford,Postgraduate,Retired,21,0,45578,Female,5
Huntington,Bachelors,Part-time,36,16,45138,Male,7
Maplewood,Bachelors,Unemployed,19,0,20482,Male,7
Maplewood,None,Full-time,56,15,16865,Male,7
Ashford,Bachelors,Full-time,26,5,70489,Male,2
Kingsley,Bachelors,Full-time,77,50,66376,Male,3
Rosedale,Technical,Full-time,36,6,44097,Female,3
Kingsley,Bachelors,Full-time,33,1,70408,Female,2
Huntington,Postgraduate,Unemployed,71,0,33163,Female,7
Rosedale,Bachelors,Retired,42,0,35058,Female,1
Ashford,Bachelors,Full-time,65,13,74156,Male,2
Ashford,None,Part-time,35,5,13283,Female,6
Rosedale,Bachelors,Retired,40,0,31976,Male,6
Maplewood,Technical,Unemployed,70,0,13443,Female,5
Rosedale,Bachelors,Unemployed,38,0,20759,Male,2
Huntington,Postgraduate,Part-time,28,7,62595,Male,4
Maplewood,Bachelors,Retired,56,0,34920,Male,6
Ashford,None,Part-time,58,14,8887,Male,6
Rosedale,Technical,Part-time,21,2,19991,Male,6
Kingsley,Bachelors,Full-time,42,14,70228,Male,1
Kingsley,Bachelors,Full-time,80,47,73046,Female,4
Huntington,Postgraduate,Part-time,49,0,61450,Female,7
Kingsley,Postgraduate,Full-time,47,10,98604,Male,7
Rosedale,Bachelors,Full-time,62,26,66083,Male,2
Rosedale,Technical,Retired,76,0,23626,Female,1
Kingsley,Technical,Full-time,43,24,35020,Male,6
Rosedale,Technical,Part-time,74,36,28664,Female,7
Huntington,Technical,Part-time,78,4,20099,Male,4
Maplewood,Bachelors,Unemployed,53,0,22841,Female,7
Huntington,Bachelors,Full-time,68,28,67637,Female,4
Huntington,Bachelors,Full-time,51,31,73581,Female,1
Rosedale,None,Part-time,26,4,14744,Female,7
Maplewood,Technical,Retired,29,0,18413,Male,6
Rosedale,Technical,Unemployed,19,0,14457,Male,1
Ashford,Technical,Full-time,55,5,36354,Female,3
Rosedale,Postgraduate,Full-time,22,1,101402,Female,6
Rosedale,None,Unemployed,79,0,5521,Male,1
Rosedale,Bachelors,Full-time,22,2,70125,Female,2
Maplewood,Technical,Part-time,69,3,19005,Male,7
Rosedale,Postgraduate,Full-time,39,8,103382,Male,6
Maplewood,Bachelors,Full-time,22,2,73339,Female,5
Kingsley,Technical,Full-time,76,25,39353,Male,6
Ashford,Bachelors,Full-time,21,3,68550,Female,3
Maplewood,Bachelors,Part-time,78,42,45031,Male,1
Kingsley,Postgraduate,Unemployed,26,0,29105,Male,5
Maplewood,Technical,Full-time,46,26,44302,Female,3
Maplewood,Postgraduate,Retired,39,0,50083,Female,2
Ashford,Postgraduate,Full-time,44,3,103816,Male,6
Huntington,Postgraduate,Part-time,27,0,57175,Male,7
Huntington,Bachelors,Full-time,33,8,74270,Male,5
Maplewood,Bachelors,Unemployed,59,0,24737,Male,7
Rosedale,Bachelors,Retired,78,0,35224,Female,1
Kingsley,Bachelors,Part-time,59,15,38195,Female,1
Rosedale,Bachelors,Retired,78,0,32069,Male,2
Rosedale,Bachelors,Part-time,68,50,40358,Male,3
Maplewood,Bachelors,Unemployed,27,0,18438,Female,5
Maplewood,Bachelors,Retired,23,0,38808,Female,2
Maplewood,Postgraduate,Unemployed,79,0,29244,Female,3
Maplewood,Technical,Part-time,66,47,22343,Female,4
Huntington,Postgraduate,Full-time,22,2,96811,Male,4
Maplewood,Bachelors,Part-time,75,25,37171,Female,3
Huntington,Postgraduate,Full-time,23,0,99142,Other,1
Huntington,Bachelors,Part-time,80,25,37625,Female,1
Maplewood,Technical,Full-time,76,27,40906,Male,4
Ashford,Postgraduate,Part-time,73,52,62983,Male,1
Kingsley,Technical,Full-time,76,57,39063,Male,7
Rosedale,Postgraduate,Full-time,80,8,103644,Female,1
Huntington,Bachelors,Full-time,64,43,74610,Male,3
Kingsley,Bachelors,Unemployed,42,0,24142,Male,6
Ashford,Technical,Full-time,76,21,35753,Female,3
Rosedale,Bachelors,Full-time,68,7,71851,Male,1
Rosedale,Technical,Retired,67,0,20104,Male,3
Huntington,None,Part-time,78,57,14343,Male,5
Maplewood,Technical,Full-time,21,0,41926,Male,4
Ashford,None,Full-time,57,26,21827,Male,6
Huntington,Postgraduate,Full-time,76,38,104417,Female,5
Ashford,Postgraduate,Unemployed,65,0,33359,Female,5
Maplewood,Technical,Full-time,49,18,38685,Male,1
Maplewood,Bachelors,Full-time,73,24,73277,Male,1
Huntington,Technical,Full-time,68,37,44869,Female,5
Maplewood,Bachelors,Full-time,69,20,66982,Male,5
Kingsley,Postgraduate,Retired,52,0,49944,Male,2
Rosedale,Postgraduate,Full-time,27,7,102892,Female,2
Huntington,Bachelors,Full-time,51,23,74678,Male,7
Ashford,Bachelors,Full-time,53,18,73191,Male,4
Kingsley,Technical,Full-time,23,1,43633,Male,5
Huntington,Postgraduate,Full-time,60,1,103462,Female,3
Maplewood,None,Retired,63,0,5343,Male,6
Maplewood,Bachelors,Retired,33,0,39398,Male,2
Maplewood,Bachelors,Unemployed,76,0,19081,Male,1
Maplewood,Bachelors,Unemployed,70,0,22637,Female,5
Ashford,Technical,Part-time,36,13,28449,Male,3
Kingsley,Postgraduate,Full-time,51,31,97291,Male,6
Rosedale,Technical,Retired,42,0,16532,Female,3
Ashford,Bachelors,Retired,48,0,34362,Female,7
Ashford,Technical,Retired,66,0,16653,Male,3
Rosedale,Technical,Part-time,58,31,23988,Male,1
Rosedale,Bachelors,Full-time,34,15,71344,Female,2
Maplewood,Bachelors,Retired,64,0,38430,Female,3
Ashford,Technical,Retired,47,0,24106,Male,6
Huntington,Technical,Unemployed,56,0,8438,Male,2
Rosedale,Bachelors,Full-time,71,38,68016,Male,7
Rosedale,Bachelors,Full-time,72,39,74652,Male,7
Kingsley,Postgraduate,Full-time,48,9,103166,Female,4
Huntington,None,Retired,36,0,11389,Male,1
Huntington,Technical,Full-time,79,46,40977,Female,2
Rosedale,Technical,Full-time,52,12,38079,Female,7
Maplewood,None,Unemployed,46,0,7295,Male,7
Kingsley,Bachelors,Full-time,76,11,67258,Male,2
Huntington,Bachelors,Retired,18,0,38558,Female,3
Rosedale,Technical,Full-time,21,3,37991,Male,6
Huntington,Technical,Retired,45,0,18741,Female,3
Kingsley,None,Part-time,35,14,7085,Other,6
Kingsley,Postgraduate,Unemployed,43,0,27493,Male,7
Ashford,Postgraduate,Unemployed,57,0,31447,Male,7
Rosedale,Technical,Full-time,36,11,43323,Male,1
Kingsley,Technical,Full-time,72,42,42588,Female,2
Ashford,Postgraduate,Full-time,72,50,95903,Female,5
Ashford,Postgraduate,Part-time,77,45,60083,Female,7
Huntington,Bachelors,Unemployed,74,0,25413,Female,6
Huntington,None,Full-time,23,2,21190,Male,6
Ashford,None,Part-time,18,0,16955,Female,3
Huntington,Bachelors,Full-time,25,1,67804,Female,3
Kingsley,Technical,Retired,50,0,16226,Female,7
Maplewood,None,Unemployed,68,0,2284,Male,7
Kingsley,Bachelors,Full-time,60,35,65689,Female,4
Ashford,None,Full-time,38,16,20143,Female,6
Ashford,Bachelors,Full-time,41,18,69782,Female,1
Kingsley,Technical,Part-time,42,8,23881,Female,2
Huntington,None,Part-time,64,38,11507,Female,2
Huntington,Bachelors,Full-time,72,0,66996,Female,2
Ashford,Technical,Full-time,74,6,39381,Female,6
Rosedale,Postgraduate,Full-time,60,25,102680,Female,3
Huntington,Bachelors,Part-time,36,6,46301,Male,1
Kingsley,Technical,Part-time,46,19,19429,Male,2
Huntington,Bachelors,Full-time,70,6,70700,Male,6
Kingsley,Technical,Retired,27,0,18781,Female,5
Ashford,Postgraduate,Retired,73,0,53794,Female,7
Huntington,Technical,Full-time,29,7,43631,Other,4
Kingsley,Bachelors,Full-time,50,15,74176,Male,4
Ashford,None,Retired,73,0,10468,Male,2
Rosedale,Bachelors,Unemployed,24,0,20507,Male,3
Kingsley,Postgraduate,Full-time,34,2,95527,Male,4
Rosedale,Postgraduate,Full-time,78,44,97996,Female,4
Rosedale,Technical,Full-time,78,9,38467,Male,4
Maplewood,Technical,Part-time,75,49,20361,Female,4
Huntington,Postgraduate,Full-time,77,6,101817,Female,2
Kingsley,Postgraduate,Full-time,27,4,95703,Male,6
Rosedale,None,Part-time,48,20,7662,Female,1
Maplewood,Bachelors,Part-time,77,36,45556,Male,1
Ashford,Technical,Full-time,23,0,44114,Male,3
Kingsley,Postgraduate,Full-time,34,6,101256,Female,6
Rosedale,None,Part-time,67,26,15367,Female,7
Huntington,Technical,Full-time,54,3,40297,Male,5
Maplewood,Bachelors,Full-time,35,15,74127,Male,1
Rosedale,None,Unemployed,79,0,9573,Male,5
Huntington,Bachelors,Full-time,43,18,70378,Male,1
Rosedale,Bachelors,Retired,66,0,30305,Other,1
Kingsley,Technical,Unemployed,71,0,12497,Female,3
Kingsley,Technical,Full-time,33,9,39697,Male,4
Kingsley,Bachelors,Full-time,25,2,67390,Female,3
Maplewood,Technical,Part-time,41,2,26222,Male,1
Kingsley,Bachelors,Unemployed,30,0,23933,Male,6
Huntington,Postgraduate,Unemployed,46,0,26465,Female,4
Rosedale,Bachelors,Retired,49,0,37852,Female,6
Ashford,Technical,Full-time,41,16,35402,Female,6
Huntington,Technical,Part-time,33,14,25940,Female,6
Huntington,Technical,Full-time,28,9,37670,Female,4
Kingsley,Technical,Full-time,49,16,43095,Male,6
Maplewood,Bachelors,Full-time,23,5,74993,Female,4
Rosedale,Bachelors,Full-time,76,29,73368,Other,5
Maplewood,None,Retired,52,0,9544,Male,7
Rosedale,None,Full-time,50,20,23934,Female,1
Rosedale,Technical,Full-time,35,3,40660,Female,2
Maplewood,Bachelors,Full-time,54,22,71074,Male,6
Huntington,Technical,Unemployed,30,0,9348,Female,3
Rosedale,Bachelors,Retired,27,0,36850,Male,5
Maplewood,Technical,Full-time,54,11,39402,Female,3
Rosedale,Postgraduate,Full-time,43,24,95750,Male,2
Ashford,Postgraduate,Full-time,63,19,104060,Female,4
Huntington,Technical,Unemployed,34,0,11062,Male,2
Kingsley,Technical,Part-time,18,0,26434,Male,3
Rosedale,Bachelors,Part-time,80,48,45405,Male,2
Ashford,Technical,Part-time,42,16,20617,Female,1
Kingsley,Bachelors,Full-time,51,6,67530,Female,2
Kingsley,Postgraduate,Retired,56,0,48333,Female,6
Rosedale,Bachelors,Part-time,27,2,44234,Female,1
Maplewood,Postgraduate,Full-time,37,1,104789,Male,6
Rosedale,Technical,Full-time,24,5,40768,Male,7
Ashford,Technical,Part-time,73,37,26707,Female,7
Kingsley,Bachelors,Unemployed,33,0,16511,Male,2
Rosedale,Technical,Full-time,54,5,40082,Other,1
Maplewood,Bachelors,Unemployed,46,0,22860,Female,1
Rosedale,Technical,Retired,77,0,15252,Male,7
Huntington,None,Full-time,29,6,19133,Male,2
Maplewood,Postgraduate,Full-time,34,4,103820,Female,5
Ashford,Technical,Full-time,65,6,38476,Male,4
Kingsley,Postgraduate,Retired,37,0,54178,Male,4
Rosedale,Postgraduate,Full-time,43,1,96725,Male,4
Maplewood,Bachelors,Full-time,65,31,67093,Female,1
Huntington,Bachelors,Part-time,36,16,38701,Female,7
Maplewood,Bachelors,Retired,75,0,38496,Male,4
Huntington,Postgraduate,Full-time,64,12,100834,Male,7
Ashford,Technical,Full-time,29,8,39340,Male,1
Kingsley,Bachelors,Full-time,38,20,67807,Female,7
Ashford,Bachelors,Part-time,59,20,43301,Male,5
Rosedale,Bachelors,Retired,78,0,37572,Male,2
Maplewood,Bachelors,Full-time,75,27,66024,Female,7
Huntington,Technical,Retired,78,0,17975,Female,7
Huntington,Bachelors,Part-time,71,47,45698,Other,2
